Timestamp,Davis Hall Total Electric Meter Demand (C),Davis Hall Total Electric Meter Usage (C)
2024-01-03T22:00:00-08:00 Los_Angeles,98.36800384521484kW,94.25kWh
2024-01-03T23:00:00-08:00 Los_Angeles,98.87999725341797kW,96.25kWh
2024-01-04T00:00:00-08:00 Los_Angeles,98.17599487304688kW,93.5kWh
2024-01-04T01:00:00-08:00 Los_Angeles,97.47200012207031kW,91.5kWh
2024-01-04T02:00:00-08:00 Los_Angeles,97.91999816894531kW,93.25kWh
2024-01-04T03:00:00-08:00 Los_Angeles,96.95999908447266kW,92.5kWh
2024-01-04T04:00:00-08:00 Los_Angeles,97.79199981689453kW,92.5kWh
2024-01-04T05:00:00-08:00 Los_Angeles,138.49600219726562kW,122.25kWh
2024-01-04T06:00:00-08:00 Los_Angeles,138.68800354003906kW,135.25kWh
2024-01-04T07:00:00-08:00 Los_Angeles,135.87200927734375kW,133.75kWh
2024-01-04T08:00:00-08:00 Los_Angeles,146.4320068359375kW,141.25kWh
2024-01-04T09:00:00-08:00 Los_Angeles,151.16799926757812kW,146kWh
2024-01-04T10:00:00-08:00 Los_Angeles,154.55999755859375kW,150.75kWh
2024-01-04T11:00:00-08:00 Los_Angeles,165.5679931640625kW,157.25kWh
2024-01-04T12:00:00-08:00 Los_Angeles,170.7519989013672kW,161kWh
2024-01-04T13:00:00-08:00 Los_Angeles,169.5360107421875kW,160.5kWh
2024-01-04T14:00:00-08:00 Los_Angeles,157.6959991455078kW,156.25kWh
2024-01-04T15:00:00-08:00 Los_Angeles,161.72799682617188kW,154.25kWh
2024-01-04T16:00:00-08:00 Los_Angeles,156.54400634765625kW,150.75kWh
2024-01-04T17:00:00-08:00 Los_Angeles,143.93600463867188kW,141.5kWh
2024-01-04T18:00:00-08:00 Los_Angeles,140.09600830078125kW,135.25kWh
2024-01-04T19:00:00-08:00 Los_Angeles,138.3679962158203kW,134.75kWh
2024-01-04T20:00:00-08:00 Los_Angeles,136.70399475097656kW,104.5kWh
2024-01-04T21:00:00-08:00 Los_Angeles,98.68800354003906kW,95kWh
2024-01-04T22:00:00-08:00 Los_Angeles,96.63999938964844kW,92.25kWh
2024-01-04T23:00:00-08:00 Los_Angeles,96.19200134277344kW,93kWh
2024-01-05T00:00:00-08:00 Los_Angeles,97.72799682617188kW,93.75kWh
2024-01-05T01:00:00-08:00 Los_Angeles,97.53599548339844kW,92.5kWh
2024-01-05T02:00:00-08:00 Los_Angeles,97.53599548339844kW,93.5kWh
2024-01-05T03:00:00-08:00 Los_Angeles,95.48799896240234kW,92.25kWh
2024-01-05T04:00:00-08:00 Los_Angeles,99.00800323486328kW,93kWh
2024-01-05T05:00:00-08:00 Los_Angeles,134.9759979248047kW,123.25kWh
2024-01-05T06:00:00-08:00 Los_Angeles,141.56800842285156kW,136kWh
2024-01-05T07:00:00-08:00 Los_Angeles,139.6479949951172kW,133.75kWh
2024-01-05T08:00:00-08:00 Los_Angeles,146.36801147460938kW,137.5kWh
2024-01-05T09:00:00-08:00 Los_Angeles,157.6959991455078kW,148.25kWh
2024-01-05T10:00:00-08:00 Los_Angeles,155.3280029296875kW,150.25kWh
2024-01-05T11:00:00-08:00 Los_Angeles,158.27200317382812kW,150kWh
2024-01-05T12:00:00-08:00 Los_Angeles,151.80799865722656kW,149kWh
2024-01-05T13:00:00-08:00 Los_Angeles,153.9199981689453kW,147.75kWh
2024-01-05T14:00:00-08:00 Los_Angeles,151.29600524902344kW,146.25kWh
2024-01-05T15:00:00-08:00 Los_Angeles,148.73599243164062kW,145.75kWh
2024-01-05T16:00:00-08:00 Los_Angeles,142.84799194335938kW,141.75kWh
2024-01-05T17:00:00-08:00 Los_Angeles,137.343994140625kW,133.75kWh
2024-01-05T18:00:00-08:00 Los_Angeles,138.62399291992188kW,135.25kWh
2024-01-05T19:00:00-08:00 Los_Angeles,137.0240020751953kW,134.25kWh
2024-01-05T20:00:00-08:00 Los_Angeles,123.52000427246094kW,99.5kWh
2024-01-05T21:00:00-08:00 Los_Angeles,91.19999694824219kW,87.5kWh
2024-01-05T22:00:00-08:00 Los_Angeles,90.68800354003906kW,86kWh
2024-01-05T23:00:00-08:00 Los_Angeles,88.12799835205078kW,86.25kWh
2024-01-06T00:00:00-08:00 Los_Angeles,86.8479995727539kW,84kWh
2024-01-06T01:00:00-08:00 Los_Angeles,87.80799865722656kW,84.5kWh
2024-01-06T02:00:00-08:00 Los_Angeles,88.76799774169922kW,84kWh
2024-01-06T03:00:00-08:00 Los_Angeles,89.34400177001953kW,85.75kWh
2024-01-06T04:00:00-08:00 Los_Angeles,88.447998046875kW,83.5kWh
2024-01-06T05:00:00-08:00 Los_Angeles,89.27999877929688kW,85.5kWh
2024-01-06T06:00:00-08:00 Los_Angeles,89.40799713134766kW,85.25kWh
2024-01-06T07:00:00-08:00 Los_Angeles,89.1520004272461kW,84.5kWh
2024-01-06T08:00:00-08:00 Los_Angeles,89.40799713134766kW,84.5kWh
2024-01-06T09:00:00-08:00 Los_Angeles,89.5999984741211kW,84.5kWh
2024-01-06T10:00:00-08:00 Los_Angeles,88.38400268554688kW,84kWh
2024-01-06T11:00:00-08:00 Los_Angeles,88.38400268554688kW,84.75kWh
2024-01-06T12:00:00-08:00 Los_Angeles,87.74400329589844kW,84.5kWh
2024-01-06T13:00:00-08:00 Los_Angeles,87.552001953125kW,84.5kWh
2024-01-06T14:00:00-08:00 Los_Angeles,89.02399444580078kW,85.25kWh
2024-01-06T15:00:00-08:00 Los_Angeles,92.15999603271484kW,86.25kWh
2024-01-06T16:00:00-08:00 Los_Angeles,90.49600219726562kW,86.25kWh
2024-01-06T17:00:00-08:00 Los_Angeles,94.59199523925781kW,86.25kWh
2024-01-06T18:00:00-08:00 Los_Angeles,92.60800170898438kW,89.25kWh
2024-01-06T19:00:00-08:00 Los_Angeles,91.00799560546875kW,87.25kWh
2024-01-06T20:00:00-08:00 Los_Angeles,90.55999755859375kW,86kWh
2024-01-06T21:00:00-08:00 Los_Angeles,90.87999725341797kW,86.5kWh
2024-01-06T22:00:00-08:00 Los_Angeles,90.17599487304688kW,86.75kWh
2024-01-06T23:00:00-08:00 Los_Angeles,88.57599639892578kW,85.75kWh
2024-01-07T00:00:00-08:00 Los_Angeles,87.68000030517578kW,85kWh
2024-01-07T01:00:00-08:00 Los_Angeles,89.34400177001953kW,83.25kWh
2024-01-07T02:00:00-08:00 Los_Angeles,90.23999786376953kW,84.25kWh
2024-01-07T03:00:00-08:00 Los_Angeles,89.47200012207031kW,84.75kWh
2024-01-07T04:00:00-08:00 Los_Angeles,88.83200073242188kW,84.75kWh
2024-01-07T05:00:00-08:00 Los_Angeles,87.552001953125kW,84.25kWh
2024-01-07T06:00:00-08:00 Los_Angeles,88.76800537109375kW,85.5kWh
2024-01-07T07:00:00-08:00 Los_Angeles,88.95999908447266kW,85.5kWh
2024-01-07T08:00:00-08:00 Los_Angeles,88.31999969482422kW,84.25kWh
2024-01-07T09:00:00-08:00 Los_Angeles,90.36799621582031kW,84.75kWh
2024-01-07T10:00:00-08:00 Los_Angeles,88.95999908447266kW,84.75kWh
2024-01-07T11:00:00-08:00 Los_Angeles,89.72799682617188kW,85.75kWh
2024-01-07T12:00:00-08:00 Los_Angeles,93.63200378417969kW,87.75kWh
2024-01-07T13:00:00-08:00 Los_Angeles,92.9280014038086kW,89.5kWh
2024-01-07T14:00:00-08:00 Los_Angeles,96.32000732421875kW,90.5kWh
2024-01-07T15:00:00-08:00 Los_Angeles,93.43999481201172kW,90.5kWh
2024-01-07T16:00:00-08:00 Los_Angeles,92.6719970703125kW,89.25kWh
2024-01-07T17:00:00-08:00 Los_Angeles,94.08000183105469kW,90.5kWh
2024-01-07T18:00:00-08:00 Los_Angeles,90.94400024414062kW,88.25kWh
2024-01-07T19:00:00-08:00 Los_Angeles,91.83999633789062kW,87.25kWh
2024-01-07T20:00:00-08:00 Los_Angeles,92.15999603271484kW,88kWh
2024-01-07T21:00:00-08:00 Los_Angeles,90.55999755859375kW,87kWh
2024-01-07T22:00:00-08:00 Los_Angeles,90.0479965209961kW,86kWh
2024-01-07T23:00:00-08:00 Los_Angeles,91.52000427246094kW,86.75kWh
2024-01-08T00:00:00-08:00 Los_Angeles,90.36800384521484kW,87.5kWh
2024-01-08T01:00:00-08:00 Los_Angeles,90.56000518798828kW,87kWh
2024-01-08T02:00:00-08:00 Los_Angeles,92.41600036621094kW,86.5kWh
2024-01-08T03:00:00-08:00 Los_Angeles,92.41600036621094kW,86.5kWh
2024-01-08T04:00:00-08:00 Los_Angeles,91.26399230957031kW,87.5kWh
2024-01-08T05:00:00-08:00 Los_Angeles,132.60800170898438kW,118.5kWh
2024-01-08T06:00:00-08:00 Los_Angeles,134.4639892578125kW,131.75kWh
2024-01-08T07:00:00-08:00 Los_Angeles,132.99200439453125kW,130.75kWh
2024-01-08T08:00:00-08:00 Los_Angeles,142.0159912109375kW,136.5kWh
2024-01-08T09:00:00-08:00 Los_Angeles,148.41600036621094kW,146kWh
2024-01-08T10:00:00-08:00 Los_Angeles,151.87200927734375kW,150.25kWh
2024-01-08T11:00:00-08:00 Los_Angeles,154.94400024414062kW,149.5kWh
2024-01-08T12:00:00-08:00 Los_Angeles,158.27200317382812kW,151.5kWh
2024-01-08T13:00:00-08:00 Los_Angeles,160.38400268554688kW,155kWh
2024-01-08T14:00:00-08:00 Los_Angeles,153.66400146484375kW,152.75kWh
2024-01-08T15:00:00-08:00 Los_Angeles,155.52000427246094kW,152.75kWh
2024-01-08T16:00:00-08:00 Los_Angeles,152.12799072265625kW,146.75kWh
2024-01-08T17:00:00-08:00 Los_Angeles,149.88800048828125kW,144.25kWh
2024-01-08T18:00:00-08:00 Los_Angeles,139.52000427246094kW,137.25kWh
2024-01-08T19:00:00-08:00 Los_Angeles,139.3280029296875kW,134.75kWh
2024-01-08T20:00:00-08:00 Los_Angeles,130.8159942626953kW,104.5kWh
2024-01-08T21:00:00-08:00 Los_Angeles,97.1520004272461kW,93.5kWh
2024-01-08T22:00:00-08:00 Los_Angeles,97.08799743652344kW,91.5kWh
2024-01-08T23:00:00-08:00 Los_Angeles,97.85600280761719kW,91.75kWh
2024-01-09T00:00:00-08:00 Los_Angeles,96.19200134277344kW,91.75kWh
2024-01-09T01:00:00-08:00 Los_Angeles,97.08799743652344kW,91.75kWh
2024-01-09T02:00:00-08:00 Los_Angeles,95.93600463867188kW,91.5kWh
2024-01-09T03:00:00-08:00 Los_Angeles,96.44800567626953kW,92.5kWh
2024-01-09T04:00:00-08:00 Los_Angeles,96kW,90.5kWh
2024-01-09T05:00:00-08:00 Los_Angeles,138.94400024414062kW,122.75kWh
2024-01-09T06:00:00-08:00 Los_Angeles,139.07199096679688kW,135.5kWh
2024-01-09T07:00:00-08:00 Los_Angeles,139.83999633789062kW,133kWh
2024-01-09T08:00:00-08:00 Los_Angeles,144.38400268554688kW,135.5kWh
2024-01-09T09:00:00-08:00 Los_Angeles,158.1439971923828kW,150.5kWh
2024-01-09T10:00:00-08:00 Los_Angeles,163.52000427246094kW,157.25kWh
2024-01-09T11:00:00-08:00 Los_Angeles,163.00799560546875kW,156.5kWh
2024-01-09T12:00:00-08:00 Los_Angeles,160.0640106201172kW,158.25kWh
2024-01-09T13:00:00-08:00 Los_Angeles,157.6320037841797kW,157.5kWh
2024-01-09T14:00:00-08:00 Los_Angeles,157.44000244140625kW,156.5kWh
2024-01-09T15:00:00-08:00 Los_Angeles,159.36000061035156kW,156kWh
2024-01-09T16:00:00-08:00 Los_Angeles,158.33599853515625kW,155.5kWh
2024-01-09T17:00:00-08:00 Los_Angeles,143.67999267578125kW,143.25kWh
2024-01-09T18:00:00-08:00 Los_Angeles,141.95199584960938kW,138kWh
2024-01-09T19:00:00-08:00 Los_Angeles,140.2239990234375kW,134kWh
2024-01-09T20:00:00-08:00 Los_Angeles,130.94400024414062kW,104kWh
2024-01-09T21:00:00-08:00 Los_Angeles,94.52799987792969kW,90.5kWh
2024-01-09T22:00:00-08:00 Los_Angeles,93.8239974975586kW,90kWh
2024-01-09T23:00:00-08:00 Los_Angeles,94.46400451660156kW,90.75kWh
2024-01-10T00:00:00-08:00 Los_Angeles,95.552001953125kW,90.25kWh
2024-01-10T01:00:00-08:00 Los_Angeles,93.1199951171875kW,89.25kWh
2024-01-10T02:00:00-08:00 Los_Angeles,94.97599792480469kW,89.25kWh
2024-01-10T03:00:00-08:00 Los_Angeles,94.20799255371094kW,90.25kWh
2024-01-10T04:00:00-08:00 Los_Angeles,94.52799987792969kW,90.75kWh
2024-01-10T05:00:00-08:00 Los_Angeles,95.04000091552734kW,90.75kWh
2024-01-10T06:00:00-08:00 Los_Angeles,95.10400390625kW,92.5kWh
2024-01-10T07:00:00-08:00 Los_Angeles,101.9520034790039kW,93.5kWh
2024-01-10T08:00:00-08:00 Los_Angeles,114.17599487304688kW,110.5kWh
2024-01-10T09:00:00-08:00 Los_Angeles,121.34400177001953kW,120.25kWh
2024-01-10T10:00:00-08:00 Los_Angeles,160.76800537109375kW,150.75kWh
2024-01-10T11:00:00-08:00 Los_Angeles,168.76800537109375kW,161.25kWh
2024-01-10T12:00:00-08:00 Los_Angeles,170.49600219726562kW,166.25kWh
2024-01-10T13:00:00-08:00 Los_Angeles,165.95199584960938kW,161kWh
2024-01-10T14:00:00-08:00 Los_Angeles,166.33599853515625kW,158.75kWh
2024-01-10T15:00:00-08:00 Los_Angeles,162.68800354003906kW,159.25kWh
2024-01-10T16:00:00-08:00 Los_Angeles,167.67999267578125kW,159.25kWh
2024-01-10T17:00:00-08:00 Los_Angeles,154.49600219726562kW,147kWh
2024-01-10T18:00:00-08:00 Los_Angeles,152.70399475097656kW,141.75kWh
2024-01-10T19:00:00-08:00 Los_Angeles,142.46400451660156kW,138kWh
2024-01-10T20:00:00-08:00 Los_Angeles,139.58399963378906kW,101kWh
2024-01-10T21:00:00-08:00 Los_Angeles,87.42400360107422kW,83kWh
2024-01-10T22:00:00-08:00 Los_Angeles,85.3759994506836kW,81.5kWh
2024-01-10T23:00:00-08:00 Los_Angeles,86.4000015258789kW,80.75kWh
2024-01-11T00:00:00-08:00 Los_Angeles,84.73600006103516kW,81kWh
2024-01-11T01:00:00-08:00 Los_Angeles,85.12000274658203kW,80.25kWh
2024-01-11T02:00:00-08:00 Los_Angeles,81.53600311279297kW,78.75kWh
2024-01-11T03:00:00-08:00 Los_Angeles,84.86399841308594kW,78.25kWh
2024-01-11T04:00:00-08:00 Los_Angeles,83.39199829101562kW,80.25kWh
2024-01-11T05:00:00-08:00 Los_Angeles,83.00799560546875kW,77.75kWh
2024-01-11T06:00:00-08:00 Los_Angeles,83.7760009765625kW,80.25kWh
2024-01-11T07:00:00-08:00 Los_Angeles,83.0719985961914kW,77.75kWh
2024-01-11T08:00:00-08:00 Los_Angeles,82.87999725341797kW,79.5kWh
2024-01-11T09:00:00-08:00 Los_Angeles,98.17599487304688kW,93.25kWh
2024-01-11T10:00:00-08:00 Los_Angeles,109.50399780273438kW,105.25kWh
2024-01-11T11:00:00-08:00 Los_Angeles,162.94400024414062kW,149.75kWh
2024-01-11T12:00:00-08:00 Los_Angeles,163.64801025390625kW,161.5kWh
2024-01-11T13:00:00-08:00 Los_Angeles,166.01600646972656kW,158.75kWh
2024-01-11T14:00:00-08:00 Los_Angeles,164.73599243164062kW,158.5kWh
2024-01-11T15:00:00-08:00 Los_Angeles,158.72000122070312kW,155.5kWh
2024-01-11T16:00:00-08:00 Los_Angeles,159.4239959716797kW,154.25kWh
2024-01-11T17:00:00-08:00 Los_Angeles,148.41600036621094kW,143.25kWh
2024-01-11T18:00:00-08:00 Los_Angeles,140.6719970703125kW,135.75kWh
2024-01-11T19:00:00-08:00 Los_Angeles,137.0240020751953kW,129.25kWh
2024-01-11T20:00:00-08:00 Los_Angeles,135.36000061035156kW,103.25kWh
2024-01-11T21:00:00-08:00 Los_Angeles,96.63999938964844kW,92.25kWh
2024-01-11T22:00:00-08:00 Los_Angeles,96.447998046875kW,90.75kWh
2024-01-11T23:00:00-08:00 Los_Angeles,95.2959976196289kW,90.25kWh
2024-01-12T00:00:00-08:00 Los_Angeles,95.04000091552734kW,91kWh
2024-01-12T01:00:00-08:00 Los_Angeles,94.59200286865234kW,89.75kWh
2024-01-12T02:00:00-08:00 Los_Angeles,94.27200317382812kW,90.5kWh
2024-01-12T03:00:00-08:00 Los_Angeles,94.59199523925781kW,90.75kWh
2024-01-12T04:00:00-08:00 Los_Angeles,92.92799377441406kW,88.75kWh
2024-01-12T05:00:00-08:00 Los_Angeles,132.92800903320312kW,120.75kWh
2024-01-12T06:00:00-08:00 Los_Angeles,138.04800415039062kW,133.5kWh
2024-01-12T07:00:00-08:00 Los_Angeles,138.8800048828125kW,131kWh
2024-01-12T08:00:00-08:00 Los_Angeles,142.72000122070312kW,134.25kWh
2024-01-12T09:00:00-08:00 Los_Angeles,144.57598876953125kW,141kWh
2024-01-12T10:00:00-08:00 Los_Angeles,151.4879913330078kW,145.25kWh
2024-01-12T11:00:00-08:00 Los_Angeles,156.73599243164062kW,149.75kWh
2024-01-12T12:00:00-08:00 Los_Angeles,152.06399536132812kW,146.25kWh
2024-01-12T13:00:00-08:00 Los_Angeles,155.3280029296875kW,151.5kWh
2024-01-12T14:00:00-08:00 Los_Angeles,157.75999450683594kW,152.25kWh
2024-01-12T15:00:00-08:00 Los_Angeles,159.74400329589844kW,152.25kWh
2024-01-12T16:00:00-08:00 Los_Angeles,156.6719970703125kW,148.75kWh
2024-01-12T17:00:00-08:00 Los_Angeles,148.54400634765625kW,142.5kWh
2024-01-12T18:00:00-08:00 Los_Angeles,138.239990234375kW,134.75kWh
2024-01-12T19:00:00-08:00 Los_Angeles,136.1280059814453kW,130kWh
2024-01-12T20:00:00-08:00 Los_Angeles,131.90399169921875kW,100kWh
2024-01-12T21:00:00-08:00 Los_Angeles,95.87200164794922kW,88kWh
2024-01-12T22:00:00-08:00 Los_Angeles,91.64799499511719kW,88.25kWh
2024-01-12T23:00:00-08:00 Los_Angeles,96.12800598144531kW,89.75kWh
2024-01-13T00:00:00-08:00 Los_Angeles,98.17599487304688kW,93.5kWh
2024-01-13T01:00:00-08:00 Los_Angeles,95.80799865722656kW,93kWh
2024-01-13T02:00:00-08:00 Los_Angeles,99.39199829101562kW,95.25kWh
2024-01-13T03:00:00-08:00 Los_Angeles,98.36799621582031kW,94.25kWh
2024-01-13T04:00:00-08:00 Los_Angeles,99.45600128173828kW,94kWh
2024-01-13T05:00:00-08:00 Los_Angeles,98.1760025024414kW,94kWh
2024-01-13T06:00:00-08:00 Los_Angeles,99.00799560546875kW,95kWh
2024-01-13T07:00:00-08:00 Los_Angeles,94.78400421142578kW,91.5kWh
2024-01-13T08:00:00-08:00 Los_Angeles,91.71200561523438kW,88kWh
2024-01-13T09:00:00-08:00 Los_Angeles,90.30400085449219kW,86kWh
2024-01-13T10:00:00-08:00 Los_Angeles,92.16000366210938kW,86.75kWh
2024-01-13T11:00:00-08:00 Los_Angeles,91.26400756835938kW,86.75kWh
2024-01-13T12:00:00-08:00 Los_Angeles,94.01600646972656kW,89.25kWh
2024-01-13T13:00:00-08:00 Los_Angeles,90.8800048828125kW,89.5kWh
2024-01-13T14:00:00-08:00 Los_Angeles,93.18399810791016kW,90kWh
2024-01-13T15:00:00-08:00 Los_Angeles,92.73600006103516kW,89.5kWh
2024-01-13T16:00:00-08:00 Los_Angeles,93.76000213623047kW,90.5kWh
2024-01-13T17:00:00-08:00 Los_Angeles,93.1199951171875kW,89.5kWh
2024-01-13T18:00:00-08:00 Los_Angeles,94.84800720214844kW,90.25kWh
2024-01-13T19:00:00-08:00 Los_Angeles,92.99199676513672kW,89.25kWh
2024-01-13T20:00:00-08:00 Los_Angeles,91.9679946899414kW,88.25kWh
2024-01-13T21:00:00-08:00 Los_Angeles,92.03199768066406kW,89kWh
2024-01-13T22:00:00-08:00 Los_Angeles,92.47999572753906kW,88kWh
2024-01-13T23:00:00-08:00 Los_Angeles,92.73600006103516kW,88.25kWh
2024-01-14T00:00:00-08:00 Los_Angeles,97.21600341796875kW,90.25kWh
2024-01-14T01:00:00-08:00 Los_Angeles,97.08800506591797kW,92kWh
2024-01-14T02:00:00-08:00 Los_Angeles,99.45599365234375kW,95.25kWh
2024-01-14T03:00:00-08:00 Los_Angeles,100.6719970703125kW,95kWh
2024-01-14T04:00:00-08:00 Los_Angeles,99.26399993896484kW,95kWh
2024-01-14T05:00:00-08:00 Los_Angeles,98.87999725341797kW,94.75kWh
2024-01-14T06:00:00-08:00 Los_Angeles,99.39199829101562kW,96kWh
2024-01-14T07:00:00-08:00 Los_Angeles,99.26399230957031kW,92kWh
2024-01-14T08:00:00-08:00 Los_Angeles,93.31199645996094kW,89.25kWh
2024-01-14T09:00:00-08:00 Los_Angeles,95.29600524902344kW,90kWh
2024-01-14T10:00:00-08:00 Los_Angeles,96.57599639892578kW,90.75kWh
2024-01-14T11:00:00-08:00 Los_Angeles,95.552001953125kW,91.25kWh
2024-01-14T12:00:00-08:00 Los_Angeles,94.656005859375kW,90.5kWh
2024-01-14T13:00:00-08:00 Los_Angeles,96.25599670410156kW,91.25kWh
2024-01-14T14:00:00-08:00 Los_Angeles,94.46400451660156kW,89.75kWh
2024-01-14T15:00:00-08:00 Los_Angeles,92.99200439453125kW,89.75kWh
2024-01-14T16:00:00-08:00 Los_Angeles,93.24800109863281kW,91.5kWh
2024-01-14T17:00:00-08:00 Los_Angeles,94.65599822998047kW,90.75kWh
2024-01-14T18:00:00-08:00 Los_Angeles,95.68000030517578kW,92.25kWh
2024-01-14T19:00:00-08:00 Los_Angeles,93.8239974975586kW,88kWh
2024-01-14T20:00:00-08:00 Los_Angeles,92.86399841308594kW,90kWh
